stratum,reading,n,events,c,lo,hi,bootstrap_requested,bootstrap_valid,at_chance,kind,hr,p,model_c
hyposmia,single-region putamen,1003,68,0.7758884620002401,0.6904716741353928,0.8482365331554907,1000.0,1000.0,False,score,,,
hyposmia,lowest putamen %expected,1003,68,0.7614059310841638,0.6740277730288694,0.8373791713854698,1000.0,1000.0,False,score,,,
hyposmia,age alone,1003,68,0.6818945851842958,0.6032299354425213,0.7641658762950061,1000.0,1000.0,False,score,,,
hyposmia,"demographics only, CV Cox",1003,68,0.7103493816784728,0.6331227787714485,0.7771067818241423,1000.0,1000.0,False,supervised in-cohort,,,
hyposmia,"33 SBR, CV Cox on conversion",1003,68,0.7861688077800456,0.7070747245032684,0.8611421715982742,1000.0,1000.0,False,supervised in-cohort,,,
hyposmia,"33 SBR + demographics, CV Cox",1003,68,0.8124924960979709,0.7453975386035259,0.8756579419528743,1000.0,1000.0,False,supervised in-cohort,,,
hyposmia,"OIS, imaging only, zero-shot",1003,68,0.8195461640052828,0.748797476891089,0.8786339353918812,1000.0,1000.0,False,score,,,
hyposmia,"OIS, full, zero-shot",1003,68,0.8350642334013687,0.7741060224062686,0.894507130532964,1000.0,1000.0,False,score,,,
hyposmia,UPSIT total,1003,68,0.6983131228238684,0.6325314842230595,0.7601279052264246,1000.0,1000.0,False,score,,,
hyposmia + DAT deficit,single-region putamen,265,46,0.6572892173328855,0.5719882023092975,0.7368203737257351,1000.0,1000.0,False,score,,,
hyposmia + DAT deficit,lowest putamen %expected,265,46,0.6550218340611353,0.5638848904656721,0.7461789216649146,1000.0,1000.0,False,score,,,
hyposmia + DAT deficit,age alone,265,46,0.598925092374874,0.4988342291750721,0.7118177210856019,1000.0,1000.0,True,score,,,
hyposmia + DAT deficit,"demographics only, CV Cox",265,46,0.6192475646624118,0.5251141506115741,0.7212356989871137,1000.0,1000.0,False,supervised in-cohort,,,
hyposmia + DAT deficit,"33 SBR, CV Cox on conversion",265,46,0.7101108498488411,0.6179634933797891,0.8080758090954615,1000.0,1000.0,False,supervised in-cohort,,,
hyposmia + DAT deficit,"33 SBR + demographics, CV Cox",265,46,0.7232112865300638,0.627619849729512,0.806199271087604,1000.0,1000.0,False,supervised in-cohort,,,
hyposmia + DAT deficit,"OIS, imaging only, zero-shot",265,46,0.7559623782331206,0.6743027336017332,0.8312246230417141,1000.0,1000.0,False,score,,,
hyposmia + DAT deficit,"OIS, full, zero-shot",265,46,0.7643600940544172,0.6763515078893891,0.8405852416385041,1000.0,1000.0,False,score,,,
hyposmia + DAT deficit,UPSIT total,265,46,0.6495633187772926,0.5571224773965076,0.7325541641540069,1000.0,1000.0,False,score,,,
hyposmia + no DAT deficit,single-region putamen,738,22,0.5174973488865323,0.36061515816827944,0.7186785106291032,1000.0,1000.0,True,score,,,
hyposmia + no DAT deficit,lowest putamen %expected,738,22,0.4240266626268747,0.27583863777218737,0.577391540795202,1000.0,1000.0,True,score,,,
hyposmia + no DAT deficit,age alone,738,22,0.8112407211028632,0.701056737055964,0.8972053503927702,1000.0,1000.0,False,score,,,
hyposmia + no DAT deficit,"demographics only, CV Cox",738,22,0.8203302529919709,0.6924901107128308,0.9183821431181115,1000.0,1000.0,False,supervised in-cohort,,,
hyposmia + no DAT deficit,"33 SBR, CV Cox on conversion",738,22,0.6217239812149674,0.4795057955162441,0.7564808664767917,1000.0,1000.0,True,supervised in-cohort,,,
hyposmia + no DAT deficit,"33 SBR + demographics, CV Cox",738,22,0.7866989850022724,0.6484275184275183,0.8904376500193573,1000.0,1000.0,False,supervised in-cohort,,,
hyposmia + no DAT deficit,"OIS, imaging only, zero-shot",738,22,0.6556582336009695,0.4993943623106885,0.8154109024267019,1000.0,1000.0,True,score,,,
hyposmia + no DAT deficit,"OIS, full, zero-shot",738,22,0.71898197242842,0.5668409738846262,0.8835749616483839,1000.0,1000.0,False,score,,,
hyposmia + no DAT deficit,UPSIT total,738,22,0.6895924859869716,0.5621838670821411,0.8126556125511423,1000.0,1000.0,False,score,,,
hyposmia,OIS adjusted for age,1003,68,,,,,,,multivariable,0.6828683842869127,1.3430994352977815e-17,0.8440088846200025
hyposmia,upsit adjusted for age,1003,68,,,,,,,multivariable,0.905835045956002,1.0367824924761947e-06,0.7220704766478568
hyposmia + DAT deficit,OIS adjusted for age,265,46,,,,,,,multivariable,0.7013310874468951,2.1721892583342041e-07,0.7641921397379913
hyposmia + DAT deficit,upsit adjusted for age,265,46,,,,,,,multivariable,0.9265928336004715,0.0018493057164086196,0.6472959355055425
hyposmia + no DAT deficit,OIS adjusted for age,738,22,,,,,,,multivariable,0.7917865379857868,0.005753697660405308,0.824723526738373
hyposmia + no DAT deficit,upsit adjusted for age,738,22,,,,,,,multivariable,0.8957498216144318,0.004295957412902341,0.8007120133313135
