stratum,reading,n,events,c,lo,hi,bootstrap_requested,bootstrap_valid,at_chance
all prodromal,UPSIT total,1759,152,0.7003415631786459,0.6529607850821774,0.7446998094230697,1000,1000,False
all prodromal,OIS,1759,152,0.7988572392418141,0.7531314523966084,0.8427189278946813,1000,1000,False
all prodromal,OMI,1759,152,0.5830680244857225,0.5357201345307714,0.6316534145901139,1000,1000,False
all prodromal,putamen SBR,1759,152,0.753139780865434,0.705643943753071,0.8041298893964954,1000,1000,False
all prodromal,lowest putamen %expected,1759,152,0.7504128978754208,0.7002841295754434,0.798305295856446,1000,1000,False
hyposmia,UPSIT total,1003,68,0.6983131228238684,0.6325314842230595,0.7601279052264246,1000,1000,False
hyposmia,OIS,1003,68,0.8350642334013687,0.7741060224062686,0.894507130532964,1000,1000,False
hyposmia,OMI,1003,68,0.5391403529835515,0.47340595128061846,0.6113959695665104,1000,1000,True
hyposmia,putamen SBR,1003,68,0.7758884620002401,0.6904716741353928,0.8482365331554907,1000,1000,False
hyposmia,lowest putamen %expected,1003,68,0.7614059310841638,0.6740277730288694,0.8373791713854698,1000,1000,False
hyposmia + DAT deficit,UPSIT total,265,46,0.6495633187772926,0.5571224773965076,0.7325541641540069,1000,1000,False
hyposmia + DAT deficit,OIS,265,46,0.7643600940544172,0.6763515078893891,0.8405852416385041,1000,1000,False
hyposmia + DAT deficit,OMI,265,46,0.5554249244205576,0.4679121122201609,0.6500147395055004,1000,1000,True
hyposmia + DAT deficit,putamen SBR,265,46,0.6572892173328855,0.5719882023092975,0.7368203737257351,1000,1000,False
hyposmia + DAT deficit,lowest putamen %expected,265,46,0.6550218340611353,0.5638848904656721,0.7461789216649146,1000,1000,False
hyposmia + no DAT deficit,UPSIT total,738,22,0.6895924859869716,0.5621838670821411,0.8126556125511423,1000,1000,False
hyposmia + no DAT deficit,OIS,738,22,0.71898197242842,0.5668409738846262,0.8835749616483839,1000,1000,False
hyposmia + no DAT deficit,OMI,738,22,0.621269504620512,0.5043170890137626,0.7334612049728468,1000,1000,False
hyposmia + no DAT deficit,putamen SBR,738,22,0.5174973488865323,0.36061515816827944,0.7186785106291032,1000,1000,True
hyposmia + no DAT deficit,lowest putamen %expected,738,22,0.4240266626268747,0.27583863777218737,0.577391540795202,1000,1000,True
non-hyposmia-enriched,UPSIT total,756,84,0.6998214772755449,0.6349438519497085,0.7600980414145581,1000,1000,False
non-hyposmia-enriched,OIS,756,84,0.7664575636607076,0.7043189103541067,0.8229643031858108,1000,1000,False
non-hyposmia-enriched,OMI,756,84,0.590067193969899,0.5162150424380726,0.6591650444416007,1000,1000,False
non-hyposmia-enriched,putamen SBR,756,84,0.7366541866058367,0.6642021397380529,0.7988845973026988,1000,1000,False
non-hyposmia-enriched,lowest putamen %expected,756,84,0.746373757159505,0.6811457970143906,0.8043205177684245,1000,1000,False
