horizon_yr,reading,auc,lo,hi,n_at_risk,events_by_t,p
1.0,UPSIT total,0.6509084670580146,0.5166301946277531,0.7871386566763441,817,10,
1.0,OIS,0.8433940507084112,0.677687320340042,0.967032825602578,817,10,
1.0,putamen SBR,0.8323277720737111,0.6358073417550365,0.9491386094434335,817,10,
1.0,OIS minus UPSIT total,0.19248558365039659,0.027971342617921446,0.36740718674629996,817,10,0.024
1.5,UPSIT total,0.7316734936189465,0.6578254744032813,0.8020822009845483,488,36,
1.5,OIS,0.8469102499586398,0.7738637854850153,0.9098072528491659,488,36,
1.5,putamen SBR,0.7836089725333608,0.6903302388411121,0.8597640965653365,488,36,
1.5,OIS minus UPSIT total,0.11523675633969332,0.03770771484830205,0.17985337309081836,488,36,0.006
2.0,UPSIT total,0.7336376270368187,0.6688993314762346,0.800134097988511,432,41,
2.0,OIS,0.8610868386818654,0.7983077803260871,0.9154580009366085,432,41,
2.0,putamen SBR,0.8064052817232918,0.7268311088214368,0.8721026444252515,432,41,
2.0,OIS minus UPSIT total,0.12744921164504674,0.06109914150662777,0.18778967671114746,432,41,0.001
