score,endpoint,stat,p,eff
upsit,S axis,0.897,0.0033333333333333335,0.7933569884210607
OIS,S axis,0.639,0.0033333333333333335,0.2772994025960327
OMI,S axis,0.855,0.0033333333333333335,0.7093588265871134
upsit,D axis,0.679,0.0033333333333333335,0.357268499195039
OIS,D axis,0.868,0.0033333333333333335,0.7368373978892135
OMI,D axis,0.529,0.19,0.05813606821298656
upsit,NSD stage,-0.368,1.8826352147727952e-34,0.36769858000804845
OIS,NSD stage,-0.214,3.402353909831621e-12,0.2141885383507169
OMI,NSD stage,-0.305,1.1174757059371614e-23,0.3048529462553616
upsit,Hoehn-Yahr,-0.071,0.018987213267781314,0.07052778047240589
OIS,Hoehn-Yahr,-0.171,1.1467393883217388e-08,0.170552986666108
OMI,Hoehn-Yahr,-0.035,0.24785319095566405,0.03477621083084531
upsit,UPDRS-III,-1.03,0.0009512859223095043,0.5157033506466026
OIS,UPDRS-III,-1.81,5.5212848637229306e-09,0.9051760573756762
OMI,UPDRS-III,-0.49,0.11688762111418986,0.2451662016389493
upsit,PD conversion,0.698,0.0033333333333333335,0.39662624564773674
OIS,PD conversion,0.835,0.0033333333333333335,0.6702618491221763
OMI,PD conversion,0.539,0.11,0.0782807059671029
