site,n,r,p,n_pd,n_hc,upsit_mean,upsit_sd
39,13,-0.16856171779994494,0.5819870151694663,12,1,23.846153846153847,7.116250813527137
70,28,-0.09407092492641916,0.6339745969148973,28,0,21.25,7.290912659427995
75,10,0.05797303978257588,0.8736093292915527,10,0,18.2,3.9944405810520642
32,20,0.09963585516662418,0.6759933308881179,20,0,26.35,8.505570929814487
15,12,0.13296446242856758,0.6803744692007623,12,0,28.0,6.809084840390548
44,14,0.1701964337547382,0.5607585834671553,13,1,31.214285714285715,8.648508732533216
23,29,0.1938475069607954,0.3136555615994706,27,2,26.344827586206897,7.640474284404103
36,29,0.23091442211588425,0.22813211910958767,27,2,27.724137931034484,8.899825647265464
74,16,0.23457572222904738,0.3818543592924812,16,0,24.875,6.386183001866868
79,19,0.27164352112482026,0.2605893636071645,9,10,26.789473684210527,7.546735477957936
69,12,0.2773497674638348,0.382791988623447,12,0,20.916666666666668,6.067174470921869
71,40,0.2835337387852693,0.07623760890076126,40,0,18.475,7.445485639651481
67,47,0.3406483166260527,0.019127419935265635,47,0,23.340425531914892,6.705859202300111
42,40,0.3672419701789755,0.019747908230740546,33,7,25.85,9.62248968262932
37,41,0.37917749584128146,0.014488844182776663,36,5,26.0,9.184225606985054
33,60,0.3953212942301216,0.0017711851110452231,50,10,23.1,10.08556612529989
72,42,0.4324393572301465,0.004235293159186901,38,4,24.952380952380953,8.263798161042997
28,34,0.44867797789729946,0.007778755282329528,23,11,27.352941176470587,9.470471982546197
61,56,0.4618533106533196,0.0003395366023099338,50,6,22.714285714285715,6.997958886091613
24,48,0.46548221682060764,0.0008565435377637182,41,7,24.479166666666668,9.234508784026874
26,125,0.47329186408430834,2.488764965737349e-08,104,21,26.64,8.655969411430062
12,13,0.47511292468685745,0.10085084465133375,11,2,22.846153846153847,10.486866022523554
34,21,0.4873977940405704,0.025018774427296907,18,3,24.428571428571427,7.762547446369836
38,28,0.5026934973969941,0.006404422343657018,22,6,26.214285714285715,9.330781964202789
66,15,0.5078836534130676,0.05325733885094304,15,0,25.666666666666668,5.863527298559492
17,19,0.5151817584342357,0.02398608552787455,17,2,23.789473684210527,7.692557350874365
62,46,0.5151997219108145,0.00024851360025283573,37,9,24.58695652173913,7.718883301377853
29,22,0.5273875036204669,0.01165931507245722,15,7,28.954545454545453,7.888975265262957
31,66,0.5550235254995901,1.3227748549464908e-06,57,9,23.87878787878788,9.113835891763943
73,19,0.5581720389100551,0.013005158926874698,13,6,26.0,7.156970184527963
21,28,0.5618198976196348,0.0018635463586913561,23,5,27.857142857142858,8.177268790233379
35,50,0.5893648324911833,6.6977145773491225e-06,33,17,27.32,9.197248923189045
19,71,0.5930489574829665,5.050337527226058e-08,59,12,25.971830985915492,8.543956646134516
27,14,0.604584225128429,0.02200431383791705,12,2,29.285714285714285,8.84419471855862
13,33,0.6213781590766623,0.0001137192161852315,19,14,28.484848484848484,9.151916507353842
10,25,0.6219963928402061,0.0009015809928127509,16,9,27.16,9.6724695226538
25,23,0.6338301014909161,0.0011646778743381395,18,5,26.869565217391305,10.248300736424051
14,28,0.6483577292588061,0.0001905828101655161,23,5,27.714285714285715,8.7891226666077
18,21,0.659234154606974,0.0011518158855713734,18,3,24.714285714285715,6.443158054423756
41,18,0.6748701484287187,0.0021218823400124594,17,1,21.166666666666668,9.275204136012634
22,29,0.6839196420644216,4.306524111674638e-05,20,9,25.689655172413794,10.392660350582116
64,12,0.6892680759148893,0.013151903758640658,9,3,25.666666666666668,7.126561498217691
63,20,0.7057177466574842,0.0005079962700345078,7,13,30.3,5.079370039680118
20,16,0.709230785346358,0.0020936206472534752,14,2,22.25,7.818780808625686
