split,n_groups,group,score,n,adj_mean,adj_se,p_across_groups,tau_mean
tertile,3,G1,OMI,276,-4.688684059967987,0.4438407222876416,0.0013960694793516812,-3.3565494945446104
tertile,3,G2,OMI,275,-5.510740044730617,0.4216796933519613,0.0013960694793516812,-3.0687166463662967
tertile,3,G3,OMI,276,-6.89859150605495,0.43653371267374674,0.0013960694793516812,-2.427748101889841
tertile,3,G1,OIS,276,29.056954279573443,0.16570621290099255,0.9119959599560803,-3.3565494945446104
tertile,3,G2,OIS,275,29.117630875919083,0.17274113952252432,0.9119959599560803,-3.0687166463662967
tertile,3,G3,OIS,276,29.157513393056576,0.16219436940656792,0.9119959599560803,-2.427748101889841
median split,2,G1,OMI,414,-4.906866816996432,0.3614003493886668,0.0016237470385385415,-3.2826360806968564
median split,2,G2,OMI,413,-6.494185729507814,0.3483623684515738,0.0016237470385385415,-2.6182854163635385
median split,2,G1,OIS,414,28.997914475732536,0.13652286820974552,0.2410643798300037,-3.2826360806968564
median split,2,G2,OIS,413,29.223740860945192,0.1356978634947944,0.2410643798300037,-2.6182854163635385
